ticker,time,signal,session_date,alert_time_et,price,flush_score,tier,alert_id,name,sources,drop_from_prior_30m_high_pct,distance_below_vwap_pct,roc_5m_pct,roc_10m_pct,down_slope_20m_pct_per_bar,range_expansion,volume_expansion,volume_since_4am,summary,open_chart_url
AXTI,0940,buy,2026-04-01,2026-04-01 09:40:00,55.70,80.0,Strong,AXTI-1775050800000,AXTI,1000-list,8.3,3.2,2.1,5.6,0.700,0.0,0.0,2218585,"8.3% below prior 30m high, 3.2% below VWAP, 5m ROC -2.1%, range x0.0, volume x0.0",http://localhost:8081/api/open-chart/AXTI/2026-04-01/0940?signal=buy
NCNO,0940,buy,2026-04-01,2026-04-01 09:40:00,16.70,80.0,Strong,NCNO-1775050800000,NCNO,1000-list,9.7,4.0,1.5,8.8,0.800,0.0,0.0,2692510,"9.7% below prior 30m high, 4.0% below VWAP, 5m ROC -1.5%, range x0.0, volume x0.0",http://localhost:8081/api/open-chart/NCNO/2026-04-01/0940?signal=buy
SGML,0940,buy,2026-04-01,2026-04-01 09:40:00,12.40,70.0,Candidate,SGML-1775050800000,SGML,1000-list,6.1,2.5,2.2,0.0,0.400,0.0,0.0,620535,"6.1% below prior 30m high, 2.5% below VWAP, 5m ROC -2.2%, range x0.0, volume x0.0",http://localhost:8081/api/open-chart/SGML/2026-04-01/0940?signal=buy
W,0940,buy,2026-04-01,2026-04-01 09:40:00,73.50,67.0,Candidate,W-1775050800000,W,1000-list,3.6,1.4,1.1,3.3,0.400,0.0,0.0,680646,"3.6% below prior 30m high, 1.4% below VWAP, 5m ROC -1.1%, range x0.0, volume x0.0",http://localhost:8081/api/open-chart/W/2026-04-01/0940?signal=buy
FIG,0940,buy,2026-04-01,2026-04-01 09:40:00,21.00,64.4,Candidate,FIG-1775050800000,FIG,1000-list,2.6,1.5,1.4,2.6,0.200,0.0,0.0,643234,"2.6% below prior 30m high, 1.5% below VWAP, 5m ROC -1.4%, range x0.0, volume x0.0",http://localhost:8081/api/open-chart/FIG/2026-04-01/0940?signal=buy
TH,0940,buy,2026-04-01,2026-04-01 09:40:00,12.50,62.9,Candidate,TH-1775050800000,TH,1000-list,6.0,2.3,0.8,0.0,0.200,0.0,0.0,2700638,"6.0% below prior 30m high, 2.3% below VWAP, 5m ROC -0.8%, range x0.0, volume x0.0",http://localhost:8081/api/open-chart/TH/2026-04-01/0940?signal=buy
SGML,0941,buy,2026-04-01,2026-04-01 09:41:00,12.40,80.0,Strong,SGML-1775050860000,SGML,1000-list,6.4,2.6,2.5,3.3,0.400,0.0,0.0,671862,"6.4% below prior 30m high, 2.6% below VWAP, 5m ROC -2.5%, range x0.0, volume x0.0",http://localhost:8081/api/open-chart/SGML/2026-04-01/0941?signal=buy
AXTI,0941,buy,2026-04-01,2026-04-01 09:41:00,55.50,79.1,Strong,AXTI-1775050860000,AXTI,1000-list,8.5,3.2,1.4,5.4,0.700,0.0,0.0,2316560,"8.5% below prior 30m high, 3.2% below VWAP, 5m ROC -1.4%, range x0.0, volume x0.0",http://localhost:8081/api/open-chart/AXTI/2026-04-01/0941?signal=buy
FIG,0941,buy,2026-04-01,2026-04-01 09:41:00,20.90,76.9,Strong,FIG-1775050860000,FIG,1000-list,3.5,2.2,1.5,2.6,0.200,0.0,0.0,710492,"3.5% below prior 30m high, 2.2% below VWAP, 5m ROC -1.5%, range x0.0, volume x0.0",http://localhost:8081/api/open-chart/FIG/2026-04-01/0941?signal=buy
NCNO,0941,buy,2026-04-01,2026-04-01 09:41:00,16.90,73.5,Candidate,NCNO-1775050860000,NCNO,1000-list,9.9,4.0,0.9,5.8,0.700,0.0,0.0,2844611,"9.9% below prior 30m high, 4.0% below VWAP, 5m ROC -0.9%, range x0.0, volume x0.0",http://localhost:8081/api/open-chart/NCNO/2026-04-01/0941?signal=buy
